# Exposure time (ms): 2
# Camera ROI: ROI(upper_left_x_pixels=708, upper_left_y_pixels=1408, lower_right_x_pixels=1011, lower_right_y_pixels=1711)
# Real ROI: (10, 25, 60, 70)
# Images averaged: 20
# Time elapsed: 658.4328968524933
Voltage (V),Current (A),Average Intensity,Total Intensity,SNR (dB)
-0.01015489,1.223408e-05,9.09142857142857,60458,8.953867126143319
0.4905662,0.009859389,9.119248120300751,60643,8.967618196969365
0.9902934,0.01978394,9.125413533834587,60684,8.93978149131873
1.489906,0.02966345,9.080451127819549,60385,8.929778264515631
1.989661,0.03947786,9.059849624060151,60248,8.941253950222997
2.490524,0.04945283,9.081052631578947,60389,8.963869058981905
2.990232,0.05929987,9.001503759398496,59860,8.985780663143576
3.489997,0.06921165,9.033533834586466,60073,8.946937528261433
3.989817,0.07909354,9.037744360902256,60101,8.990751607334278
4.48956,0.08889712,8.976691729323308,59695,9.021449586658063
4.990411,0.09887191,8.996842105263157,59829,9.0005355251481
5.490152,0.1087451,9.029323308270676,60045,8.941033335941915
5.990014,0.1185427,8.989924812030075,59783,8.983644047937814
6.489732,0.1284969,8.960751879699249,59589,9.031525601277592
6.990995,0.138408,8.998796992481203,59842,9.05273027329871
7.491056,0.148286,8.974586466165414,59681,9.060218817552382
7.991001,0.1581627,8.996691729323308,59828,9.028910790871393
8.491292,0.1679734,9.005714285714285,59888,9.046237862262329
8.992308,0.1779263,8.98421052631579,59745,9.00709664039924
9.492357,0.1877046,9.006616541353383,59894,8.999968322409094
9.992249,0.1976446,8.981654135338346,59728,8.979789218902619
10.49222,0.2074914,9.00796992481203,59903,9.03006081228767
10.9924,0.2172606,9.008571428571429,59907,8.98401014859726
11.49362,0.2271699,9.002406015037595,59866,9.020852252775573
11.99348,0.2369833,8.972481203007519,59667,9.036371674323378
12.49348,0.2467825,8.98857142857143,59774,9.019526213319839
12.99344,0.2564916,9.014736842105263,59948,8.968401000402338
13.49459,0.2663727,8.96015037593985,59585,9.011619090460872
13.99481,0.2761329,9.004962406015038,59883,8.973636812412792
14.49494,0.2857822,8.988721804511279,59775,9.056703560011522
14.99477,0.2955937,8.956691729323309,59562,8.991678596122263
15.49548,0.3053113,9.021503759398497,59993,8.95142303116574
15.99528,0.314987,8.969624060150377,59648,9.05751199036283
16.49512,0.3246327,9.000902255639097,59856,8.998663859462813
16.99495,0.3341916,8.973684210526315,59675,9.054610070980509
17.49471,0.3438359,8.99172932330827,59795,9.037215816830084
17.99532,0.3533397,8.973533834586465,59674,8.99579505193069
18.4954,0.3629642,8.984812030075188,59749,9.060235886337214
18.995,0.3724907,8.975488721804512,59687,9.048512873148688
19.49478,0.382205,8.98451127819549,59747,9.024193919456954
19.99561,0.3919639,9.01578947368421,59955,9.020799063914273
20.49538,0.4016424,8.94406015037594,59478,9.080822181481421
20.99532,0.4111581,8.99187969924812,59796,9.027713736662715
21.49479,0.4207138,8.969172932330826,59645,9.03614554549577
21.99584,0.430099,8.965413533834587,59620,9.048075023180296
22.49555,0.4394474,8.950827067669174,59523,9.082575523735873
22.99523,0.4489024,8.979097744360903,59711,9.037458198560428
23.49526,0.4584288,8.946616541353384,59495,9.110352966763232
23.99569,0.4682294,8.969172932330826,59645,9.068678831878366
24.49561,0.4776614,8.98751879699248,59767,9.066141401355594
24.99526,0.4871974,8.958345864661654,59573,9.052679621687794
25.49521,0.4960349,9.002706766917294,59868,9.040077599084622
24.99564,0.485961,8.992180451127819,59798,9.05329213688513
24.49601,0.4751888,8.965112781954888,59618,9.086568808034984
23.99634,0.4658217,8.980601503759399,59721,9.066868339972123
23.49547,0.4557693,8.990375939849624,59786,9.030132559083171
22.99584,0.4458119,8.967218045112782,59632,9.066629322275165
22.49601,0.435843,8.989323308270677,59779,9.060114357666837
21.99622,0.4259256,8.989022556390978,59777,9.092729273333003
21.49543,0.4160977,8.93654135338346,59428,9.086806511371766
20.99565,0.4061452,8.993834586466166,59809,9.099169134616305
20.49599,0.3963229,8.989924812030075,59783,9.044192372080555
19.99605,0.3865699,8.967067669172932,59631,9.089148502477574
19.49533,0.3767102,9.007518796992482,59900,9.07798920755056
18.99565,0.3670518,8.983157894736841,59738,9.06767869907077
18.49571,0.3571985,8.989624060150376,59781,9.113852978206058
17.99594,0.3474739,9.013233082706767,59938,9.06416831799929
17.49496,0.3378012,9.001954887218044,59863,9.106229471977949
16.99543,0.3280605,8.95187969924812,59530,9.094420387889684
16.49568,0.3184153,8.997142857142856,59831,9.062134031518054
15.99566,0.3086994,8.996390977443609,59826,9.062565421697213
15.49617,0.2990433,8.98827067669173,59772,9.06358234079496
14.99496,0.2894726,9.029323308270676,60045,9.041192200031782
14.49504,0.2797004,8.98827067669173,59772,9.084162457942103
13.99506,0.2701258,8.98751879699248,59767,9.07087975620786
13.49499,0.2603974,9.006015037593984,59890,9.033968350482075
12.99383,0.2507823,9.002857142857144,59869,9.096550188928925
