# Exposure time (ms): 2
# Camera ROI: ROI(upper_left_x_pixels=700, upper_left_y_pixels=1200, lower_right_x_pixels=1703, lower_right_y_pixels=2203)
# Real ROI: (0, 0, 1000, 1000)
# Images averaged: 20
# Time elapsed: 647.9631834030151
Voltage (V),Current (A),Average Intensity,Total Intensity,SNR (dB)
-0.01011904,1.015037e-05,5.826178,5826178,10.285731868700434
0.4902461,0.009485631,5.821342,5821342,10.278775904713438
0.990238,0.01886261,5.827713,5827713,10.311383040986417
1.489868,0.02842427,5.831806,5831806,10.314501620216916
1.989626,0.0378479,5.822237,5822237,10.323246099806248
2.49057,0.04739356,5.829108,5829108,10.346698903594906
2.99023,0.05684836,5.827962,5827962,10.35309170522578
3.489882,0.06634807,5.826013,5826013,10.360468422165754
3.989708,0.07582453,5.827957,5827957,10.370008661614225
4.489605,0.08530501,5.831928,5831928,10.395893962959438
4.990351,0.09479975,5.82487,5824870,10.384501465861753
5.490218,0.1042621,5.826171,5826171,10.396492998415942
5.99,0.1137117,5.830001,5830001,10.399540060342527
6.489544,0.1232186,5.820617,5820617,10.390506860566928
6.990843,0.1326638,5.827593,5827593,10.39500236467481
7.490767,0.1422335,5.830235,5830235,10.407364919555588
7.990826,0.1517193,5.822191,5822191,10.396672058200933
8.490949,0.1612393,5.829433,5829433,10.40260185498163
8.991994,0.1707537,5.827763,5827763,10.398947380204524
9.492241,0.180209,5.822331,5822331,10.385059910181
9.991894,0.1898047,5.82425,5824250,10.395279980530814
10.49183,0.199249,5.827736,5827736,10.40060515354249
10.992,0.2088348,5.822926,5822926,10.396483422802664
11.49318,0.2183721,5.834083,5834083,10.413687876839075
11.99338,0.2278373,5.828978,5828978,10.4064236179292
12.49316,0.2373447,5.826825,5826825,10.405097087563
12.99303,0.2468666,5.833178,5833178,10.414003353052788
13.49434,0.2564046,5.832955,5832955,10.414080217681533
13.99441,0.2659145,5.832671,5832671,10.410079720588165
14.49456,0.2756221,5.835381,5835381,10.419189372902014
14.99433,0.2851556,5.827439,5827439,10.397382629531858
15.49553,0.2945905,5.830224,5830224,10.398441218226107
15.99517,0.3040325,5.834688,5834688,10.418175838333791
16.49501,0.3135296,5.834807,5834807,10.417720610647356
16.99492,0.3229144,5.832501,5832501,10.406955539352179
17.49457,0.3322252,5.838873,5838873,10.421188084535721
17.99521,0.3417173,5.833503,5833503,10.416011895085662
18.49521,0.3508216,5.831183,5831183,10.404936946556004
18.99486,0.3603275,5.836441,5836441,10.416501302821748
19.49475,0.3697061,5.83136,5831360,10.40350925324939
19.99562,0.3791109,5.838807,5838807,10.419803750676927
20.49513,0.3882849,5.838592,5838592,10.423637921634498
20.99522,0.3976401,5.837353,5837353,10.422038906442717
21.49462,0.4070121,5.835058,5835058,10.420569637580295
21.99579,0.4162555,5.842493,5842493,10.431133970230754
22.49544,0.4254739,5.831719,5831719,10.409829592513677
22.99517,0.4347131,5.834275,5834275,10.415454851179165
23.49504,0.4438487,5.842582,5842582,10.421623636954457
23.99559,0.4530684,5.833026,5833026,10.416755000929607
24.49563,0.4622439,5.840333,5840333,10.41899490829487
24.99517,0.4715542,5.837083,5837083,10.412754279633859
25.4951,0.4805173,5.834324,5834324,10.413489754546694
24.99553,0.4708157,5.839608,5839608,10.428509005359183
24.49589,0.4611086,5.846907,5846907,10.436859256698067
23.99616,0.4514382,5.833884,5833884,10.413779606791376
23.49532,0.4417184,5.83359,5833590,10.404345846494753
22.99569,0.4321757,5.843749,5843749,10.42563675454902
22.49582,0.4224842,5.841726,5841726,10.428231283175645
21.9962,0.4129113,5.842999,5842999,10.430275718116953
21.49512,0.4033774,5.846565,5846565,10.443130534262316
20.99563,0.3938182,5.842087,5842087,10.429234945228863
20.49575,0.3843837,5.84457,5844570,10.430669285071241
19.99605,0.3748375,5.851679,5851679,10.442622241375512
19.49515,0.3653585,5.838907,5838907,10.415414174552197
18.99547,0.3559189,5.842394,5842394,10.433033487994143
18.49564,0.346493,5.848043,5848043,10.442333082430144
17.99576,0.3371334,5.840687,5840687,10.427652341190424
17.49501,0.327659,5.850267,5850267,10.447934756714774
16.9954,0.3183026,5.852768,5852768,10.448374446928883
16.49546,0.3089802,5.843191,5843191,10.433644622737697
15.99562,0.2995589,5.846128,5846128,10.433269921806112
15.49581,0.2902615,5.851779,5851779,10.443243487190447
14.99458,0.2808087,5.845948,5845948,10.432449279808596
14.49478,0.2714679,5.85247,5852470,10.443481270614264
13.99468,0.2620961,5.845539,5845539,10.431658376699229
13.4946,0.2527471,5.846986,5846986,10.439177997823828
12.99338,0.2434248,5.851162,5851162,10.446321529203688
12.49348,0.2340401,5.855462,5855462,10.452212736920023
11.99368,0.2247905,5.847243,5847243,10.445024464647215
11.49343,0.2153637,5.85223,5852230,10.448775793522039
10.99237,0.2059998,5.854353,5854353,10.448559258709544
10.49213,0.1967386,5.850897,5850897,10.441859778226831
9.992221,0.187325,5.855252,5855252,10.448010788689036
9.492621,0.1779885,5.852178,5852178,10.45361801835943
8.992232,0.168644,5.851555,5851555,10.44845373201268
8.491364,0.1592836,5.853339,5853339,10.438963699914634
7.991141,0.1500257,5.855755,5855755,10.449954188841946
7.491177,0.1405836,5.849899,5849899,10.437270818605402
6.991344,0.131304,5.857533,5857533,10.462083678764495
6.489779,0.1218518,5.852254,5852254,10.436672953548818
5.990375,0.11252,5.852011,5852011,10.437678020807011
5.490473,0.1031707,5.857683,5857683,10.456215670911613
4.990693,0.09382892,5.859522,5859522,10.460414634796354
4.490013,0.08448978,5.856077,5856077,10.454522811210953
3.990093,0.07509094,5.858541,5858541,10.457339973304665
3.490283,0.06572727,5.860626,5860626,10.453374355848496
2.990498,0.05635809,5.856605,5856605,10.443875447671056
2.490742,0.04698947,5.864684,5864684,10.458307846994323
1.990032,0.03758359,5.859733,5859733,10.448204606862015
1.490059,0.02820075,5.857148,5857148,10.404274092871786
0.9905541,0.01881242,5.871006,5871006,10.39500463973063
0.4906469,0.00951004,5.866619,5866619,10.382333189670112
-0.009907211,1.780056e-05,5.872887,5872887,10.374929999489211
0.0100009,1.97652e-05,5.873821,5873821,10.375391870564549
-0.4905084,0.009377814,5.872603,5872603,10.362857631093805
-0.9901035,0.01873363,5.874903,5874903,10.342504109581093
-1.489917,0.02809867,5.88819,5888190,10.348614724426376
-1.989679,0.03746369,5.879795,5879795,10.323198202542159
