# Exposure time (ms): 2
# Camera ROI: ROI(upper_left_x_pixels=1848, upper_left_y_pixels=1780, lower_right_x_pixels=2151, lower_right_y_pixels=2083)
# Real ROI: (15, 20, 45, 70)
# Images averaged: 20
# Time elapsed: 259.4182517528534
Voltage (V),Current (A),Average Intensity,Total Intensity,SNR (dB)
-0.01000009,-2.681629e-07,6.384814814814815,34478,10.617684981732564
0.9903097,0.01928724,6.407407407407407,34600,10.631257649858231
1.989612,0.03851141,6.410185185185185,34615,10.60355974652527
2.990372,0.05771033,6.416666666666667,34650,10.69218504562554
3.989554,0.07681861,6.446481481481482,34811,10.630546582154048
4.990355,0.09595877,6.46,34884,10.688274751842503
5.989983,0.1152167,6.432222222222222,34734,10.651335558181401
6.990716,0.1341961,6.464074074074074,34906,10.659921246869244
7.990929,0.1532902,6.456851851851852,34867,10.617678592759567
8.991896,0.1732135,6.452407407407407,34843,10.685273643604685
9.992073,0.192211,6.456851851851852,34867,10.633116154879946
10.99201,0.2119393,6.452407407407407,34843,10.607237466554665
11.99339,0.2319168,6.436851851851852,34759,10.560399125492896
12.99331,0.2519164,6.455,34857,10.658998128201372
13.99438,0.2717213,6.454444444444444,34854,10.719972730687601
14.99453,0.2914931,6.470185185185185,34939,10.697976426708756
15.99513,0.3111839,6.4527777777777775,34845,10.617487570593084
16.9945,0.3299285,6.462777777777778,34899,10.662328813209154
17.99533,0.348966,6.437962962962963,34765,10.647320929507806
18.99471,0.3697631,6.466111111111111,34917,10.598601849246936
18.99525,0.3696746,6.457037037037037,34868,10.6801094225473
17.99585,0.3497406,6.446666666666666,34812,10.643507698818874
16.99557,0.3291827,6.457962962962963,34873,10.690748272646047
15.99571,0.3102713,6.4688888888888885,34932,10.642719970443919
14.99534,0.2907062,6.447037037037037,34814,10.630507622298422
13.99506,0.2714625,6.439259259259259,34772,10.590334722317902
12.99387,0.2514611,6.461111111111111,34890,10.672582190507123
11.99421,0.2320375,6.448888888888889,34824,10.640774912217843
10.99262,0.2126658,6.485740740740741,35023,10.661617588419492
9.992836,0.1933138,6.458333333333333,34875,10.672301772513508
8.992564,0.1739784,6.443518518518519,34795,10.643817132585776
7.991566,0.1546259,6.460555555555556,34887,10.693630515017116
6.991829,0.1352852,6.470185185185185,34939,10.697976426708756
5.99065,0.1159412,6.449259259259259,34826,10.659017441567402
4.991325,0.09663699,6.4437037037037035,34796,10.615322839676903
3.990325,0.0773067,6.466851851851852,34921,10.686661060072254
2.990775,0.05799791,6.461666666666667,34893,10.672651444967219
1.990452,0.03865911,6.442592592592592,34790,10.659630544058441
0.9907309,0.01933326,6.435925925925926,34754,10.679387834094836
-0.009420007,8.959683e-06,6.4218518518518515,34678,10.615878495262566
0.009952836,8.662011e-06,6.448518518518519,34822,10.709411291148507
-0.9901402,0.01919315,6.437777777777778,34764,10.689598781204271
-1.989601,0.03838921,6.421111111111111,34674,10.629183051983958
-2.990278,0.05761007,6.443148148148148,34793,10.704642510422456
-3.989563,0.07682078,6.409814814814815,34613,10.680062524811742
-4.990469,0.09607019,6.392222222222222,34518,10.704311917138508
-5.98999,0.1152992,6.433148148148148,34739,10.731221561433777
-6.990772,0.1345842,6.4366666666666665,34758,10.663345001165139
-7.990998,0.1538787,6.411851851851852,34624,10.649599713983473
-8.99182,0.1731223,6.409814814814815,34613,10.624552861295278
-9.992059,0.1928334,6.41962962962963,34666,10.66666693958819
-10.9921,0.212292,6.405555555555556,34590,10.661498059757239
-11.99318,0.2316997,6.425185185185185,34696,10.677524163067586
-12.9932,0.2509287,6.414074074074074,34636,10.672196817203536
-13.99429,0.2707439,6.395555555555555,34536,10.70138249389343
-14.9946,0.290603,6.420555555555556,34671,10.687549966481528
-15.99519,0.3101117,6.406666666666666,34596,10.636978364238832
-16.9945,0.3297746,6.388333333333334,34497,10.58585618106541
-17.99524,0.3490005,6.399814814814815,34559,10.625982439287435
-18.9947,0.3680565,6.4040740740740745,34582,10.638704121779822
-18.99534,0.3680397,6.399444444444445,34557,10.717227764485123
-17.99577,0.348532,6.412592592592593,34628,10.654456232812855
-16.99553,0.3289945,6.412037037037037,34625,10.654775520173459
-15.99571,0.3092837,6.382407407407407,34465,10.673199725840796
-14.99533,0.2889632,6.397222222222222,34545,10.651695045355396
-13.99522,0.2698242,6.396296296296296,34540,10.639203102650344
-12.99405,0.2505471,6.395925925925926,34538,10.652736541441957
-11.99382,0.2312629,6.397037037037037,34544,10.69471702083331
-10.99265,0.211952,6.395555555555555,34536,10.704100073208282
-9.992732,0.1926699,6.3875925925925925,34493,10.722373355477268
-8.992542,0.173395,6.419074074074074,34663,10.715230624569788
-7.991522,0.1541027,6.408333333333333,34605,10.68100706608577
-6.991444,0.1348312,6.41,34614,10.666602404408444
-5.990551,0.1155473,6.399814814814815,34559,10.703314662319904
-4.991234,0.0963086,6.407037037037037,34598,10.719736355315717
-3.990171,0.07704758,6.384444444444444,34476,10.64974108013126
-2.991039,0.05780448,6.413888888888889,34635,10.659019050598687
-1.990096,0.03852605,6.389074074074074,34501,10.712703625024275
-0.9906665,0.01926873,6.376296296296296,34432,10.685200780915153
0.009439561,7.38202e-06,6.4255555555555555,34698,10.66940892589469
-0.009846921,6.667606e-06,6.405185185185185,34588,10.661750077044642
0.9900441,0.01919684,6.41537037037037,34643,10.650290668651186
1.98974,0.0383871,6.429444444444444,34719,10.631267642375047
2.990198,0.05759953,6.439814814814815,34775,10.615848353407804
3.989751,0.0767945,6.447777777777778,34818,10.680164843696039
4.990527,0.09600178,6.454074074074074,34852,10.63555874533142
5.989828,0.1152272,6.448703703703703,34823,10.677460135728069
6.990925,0.1344514,6.435555555555555,34752,10.640010441867172
7.990834,0.15365,6.463703703703704,34904,10.702003971635385
8.992089,0.1729085,6.447222222222222,34815,10.659137258101598
9.991955,0.1921445,6.458703703703704,34877,10.646214094425556
10.99185,0.2114175,6.458888888888889,34878,10.654033940317813
11.99337,0.23067,6.444629629629629,34801,10.69641782231197
12.993,0.2503161,6.442962962962963,34792,10.667469183703634
