# Exposure time (ms): 2
# Camera ROI: ROI(upper_left_x_pixels=1848, upper_left_y_pixels=1780, lower_right_x_pixels=2151, lower_right_y_pixels=2083)
# Real ROI: (15, 20, 45, 70)
# Images averaged: 10
# Time elapsed: 168.21440863609314
Voltage (V),Current (A),Average Intensity,Total Intensity,SNR (dB)
-0.009970759,7.828528e-06,9.235740740740741,49873,8.384417013723404
0.9903235,0.01934853,9.257037037037037,49988,8.438703441135175
1.9896,0.03868617,9.177222222222222,49557,8.479746547475953
2.990216,0.05804464,9.282407407407407,50125,8.419918584728716
3.989589,0.07737841,9.267222222222221,50043,8.423866871961277
4.99047,0.09673626,9.278148148148148,50102,8.392400444962576
5.990084,0.1160643,9.353703703703705,50510,8.348387221262046
6.990742,0.135444,9.309444444444445,50271,8.41468133567191
7.990975,0.1548112,9.223148148148148,49805,8.426694568213358
8.991805,0.1741938,9.277592592592592,50099,8.376010086350576
9.992011,0.1935507,9.336851851851852,50419,8.373054759376643
10.99217,0.2129154,9.301481481481481,50228,8.324768036485404
11.99339,0.2325847,9.286296296296296,50146,8.40488268554756
12.99326,0.2522039,9.262037037037038,50015,8.373298533480622
13.99418,0.2716431,9.206296296296296,49714,8.475825207607446
14.99437,0.2909103,9.283888888888889,50133,8.277655928176927
15.99477,0.3102832,9.355925925925925,50522,8.352969622297659
16.99479,0.329691,9.252777777777778,49965,8.364584195078287
17.99528,0.3490681,9.279814814814815,50111,8.357826476916197
18.99465,0.3682949,9.248518518518518,49942,8.331287388823373
18.99528,0.368258,9.273148148148149,50075,8.365273256350346
17.9959,0.3489228,9.251481481481482,49958,8.35591127996411
16.99534,0.3295592,9.227962962962962,49831,8.299092616197369
15.99596,0.3102419,9.276666666666667,50094,8.387602685277807
14.99516,0.2908293,9.246851851851853,49933,8.362689369066482
13.99524,0.2714107,9.238518518518518,49888,8.421892428027798
12.99412,0.2519813,9.258148148148148,49994,8.324141445135385
11.99398,0.2325829,9.32148148148148,50336,8.321087303261658
10.99302,0.2131633,9.243148148148148,49913,8.38905411209043
9.992639,0.1937765,9.239074074074074,49891,8.33649287933221
8.992612,0.1743886,9.219259259259259,49784,8.358923563860145
7.991786,0.1549788,9.25,49950,8.3029620646481
6.991593,0.1355945,9.297037037037038,50204,8.301657373307908
5.990807,0.1161947,9.314814814814815,50300,8.304584470960064
4.990929,0.09684857,9.254814814814814,49976,8.431235761385768
3.99033,0.07746899,9.206666666666667,49716,8.419556105705869
2.990821,0.05811623,9.260555555555555,50007,8.3278184849385
1.990145,0.03873124,9.272777777777778,50073,8.338153892436969
0.9909558,0.01937309,9.249074074074073,49945,8.354889606046484
-0.009442004,7.38202e-06,9.181481481481482,49580,8.469291857223604
0.009903138,6.340166e-06,9.204444444444444,49704,8.37789235674556
-0.9900946,0.01929686,9.217407407407407,49774,8.458936172495562
-1.98964,0.0385749,9.167777777777777,49506,8.489404205090544
-2.990392,0.05788164,9.133703703703704,49322,8.52699291928404
-3.98963,0.07715471,9.140555555555556,49359,8.409681068016328
-4.990435,0.09645386,9.18462962962963,49597,8.46165965352369
-5.98973,0.1157287,9.1,49140,8.498611814358261
-6.99109,0.1350731,9.110740740740741,49198,8.5037890043657
-7.991018,0.1543828,9.120555555555555,49251,8.456852530476212
-8.991925,0.173687,9.174259259259259,49541,8.396086373933635
-9.991947,0.1929924,9.191481481481482,49634,8.416366412175242
-10.99182,0.2123132,9.071296296296296,48985,8.498664575241747
-11.99336,0.2316321,9.113148148148149,49211,8.507835322975065
-12.99339,0.2509857,9.06962962962963,48976,8.52489287235691
-13.99469,0.2711451,9.156296296296297,49444,8.448438343382666
-14.99447,0.2904801,9.12111111111111,49254,8.466095799694852
-15.99494,0.3097978,9.101296296296296,49147,8.486718569340685
