# Exposure time (ms): 2
# Camera ROI: ROI(upper_left_x_pixels=1848, upper_left_y_pixels=1780, lower_right_x_pixels=2151, lower_right_y_pixels=2083)
# Real ROI: (15, 20, 45, 70)
# Images averaged: 10
# Time elapsed: 539.9248235225677
Voltage (V),Current (A),Average Intensity,Total Intensity,SNR (dB)
-0.009927579,7.739227e-06,9.193703703703704,49646,8.24720149792589
0.2401254,0.004797259,9.143148148148148,49373,8.270680818483978
0.4907724,0.009653756,9.147592592592593,49397,8.25743944857191
0.73993,0.01446492,9.193888888888889,49647,8.292189676772054
0.990374,0.01930504,9.19462962962963,49651,8.197900474892197
1.23982,0.02412463,9.189444444444444,49623,8.35805008122486
1.490064,0.02895115,9.147222222222222,49395,8.255414234492836
1.740557,0.03379207,9.202037037037037,49691,8.376692395796187
1.98983,0.03853567,9.197777777777778,49668,8.179085967762983
2.240241,0.04343619,9.226666666666667,49824,8.307523785606145
2.490736,0.04827742,9.146666666666667,49392,8.255606395195663
2.73999,0.05304381,9.199444444444444,49677,8.262083812488621
2.990523,0.0579293,9.173703703703703,49538,8.21458935484641
3.239842,0.06271759,9.15,49410,8.206413992903613
3.490167,0.06758171,9.193333333333333,49644,8.203163097969679
3.740771,0.07236993,9.21962962962963,49786,8.18144386383044
3.989937,0.07722895,9.212407407407408,49747,8.205682899427849
4.24042,0.08206625,9.167962962962964,49507,8.25008821973516
4.489719,0.08684544,9.145555555555555,49386,8.237551789156132
4.74016,0.09171616,9.179074074074075,49567,8.258518489720595
4.990592,0.09645094,9.204814814814815,49706,8.191736255971843
5.239955,0.1010907,9.238333333333333,49887,8.18110301105887
5.490402,0.1057809,9.183148148148149,49589,8.152718508111997
5.740675,0.1102549,9.156851851851853,49447,8.245358321774923
5.990238,0.1150635,9.168333333333333,49509,8.183069439563237
6.240709,0.1195363,9.217962962962963,49777,8.197732466739055
6.489809,0.1242062,9.207222222222223,49719,8.09055106981564
6.740547,0.1290936,9.202037037037037,49691,8.198882480211982
6.991172,0.1339835,9.120740740740741,49252,8.221979325365908
7.240498,0.138604,9.20962962962963,49732,8.201196383886733
7.491109,0.1431752,9.185925925925925,49604,8.210260406044886
7.740514,0.1478598,9.234814814814815,49868,8.15754157615739
7.99117,0.1526852,9.222222222222221,49800,8.237441943407493
8.241705,0.1574219,9.247592592592593,49937,8.168049499345098
8.491246,0.1629009,9.082222222222223,49044,8.205259227065746
8.741634,0.1671432,9.199259259259259,49676,8.183318028976736
8.992268,0.1720484,9.228518518518518,49834,8.190448221485662
9.241793,0.176515,9.213333333333333,49752,8.186123302181066
9.492484,0.1821603,9.259444444444444,50001,8.200158607031756
9.741778,0.1859397,9.199444444444444,49677,8.234935277185047
9.992136,0.1911819,9.176851851851852,49555,8.18915051313391
10.24271,0.1958939,9.200740740740741,49684,8.254133056891416
10.49219,0.2006346,9.242222222222223,49908,8.129181836467149
10.74294,0.2067775,9.21351851851852,49753,8.156706279646032
10.99235,0.211368,9.165,49491,8.278958135150695
11.24288,0.216226,9.178703703703704,49565,8.214125964010389
