# Exposure time (ms): 2
# Camera ROI: ROI(upper_left_x_pixels=1860, upper_left_y_pixels=2040, lower_right_x_pixels=2163, lower_right_y_pixels=2343)
# Real ROI: (10, 45, 45, 35)
# Images averaged: 15
# Time elapsed: 583.5247688293457
Voltage (V),Current (A),Average Intensity,Total Intensity,SNR (dB)
-0.01003349,9.64433e-06,7.529545454545454,33130,10.012553277725498
0.2401189,0.004778923,7.540227272727273,33177,9.955955933931126
0.4906925,0.009573414,7.603409090909091,33455,9.834675668338383
0.7398273,0.01428393,7.537954545454546,33167,9.896915368248113
0.9903447,0.01913281,7.538409090909091,33169,9.961187332793402
1.239742,0.02393959,7.5631818181818184,33278,9.882812451698072
1.49005,0.02869051,7.532045454545455,33141,10.016340524273451
1.740524,0.03349827,7.534545454545454,33152,10.028970379349587
1.989818,0.03830917,7.5190909090909095,33084,9.978475958361603
2.240123,0.0430913,7.494318181818182,32975,10.076361740938642
2.490708,0.04789104,7.525,33110,9.955383159240816
2.740033,0.05268678,7.495681818181819,32981,9.951559940409009
2.990356,0.05750469,7.501590909090909,33007,10.037204215139305
3.23977,0.06227954,7.535454545454545,33156,9.950155196012199
3.490096,0.06706978,7.527727272727272,33122,9.974645320485571
3.740779,0.07183697,7.460454545454546,32826,9.976935769437565
3.990004,0.0766314,7.492727272727273,32968,10.005664222707138
4.240354,0.0814236,7.464318181818181,32843,10.022354664698668
4.489813,0.08618398,7.460454545454546,32826,10.0482807070686
4.740216,0.09097445,7.423409090909091,32663,10.029320005147062
4.990571,0.09572402,7.411590909090909,32611,10.155842709412596
5.239919,0.1002835,7.443181818181818,32750,10.048504724242093
5.490331,0.1036165,7.466136363636363,32851,10.051736389770031
5.740803,0.1084016,7.421818181818182,32656,10.051278460395165
5.990234,0.1126465,7.450681818181818,32783,10.040613480486282
6.240571,0.1178892,7.4675,32857,10.035911892063773
6.489705,0.1227152,7.385454545454546,32496,10.094031296503864
6.740418,0.1278793,7.431363636363637,32698,10.084402399691463
6.991055,0.1323335,7.445,32758,10.001908998368013
7.240322,0.1370406,7.405681818181818,32585,10.08841682979063
7.491047,0.1418035,7.452272727272727,32790,10.040925470882069
7.74046,0.1469909,7.414090909090909,32622,10.134342478344394
7.991113,0.1519998,7.43,32692,10.071405673177939
8.241729,0.156391,7.455,32802,10.0835471692861
8.491168,0.1610937,7.421818181818182,32656,10.07526160713806
8.741755,0.166515,7.4156818181818185,32629,10.07574277900873
8.992239,0.1703566,7.4575,32813,9.99554718044011
9.241762,0.1764053,7.44,32736,10.083056482845382
9.49247,0.181028,7.43,32692,10.071405673177939
9.741647,0.1853642,7.4556818181818185,32805,10.014679484587095
9.9922,0.1906611,7.434318181818182,32711,10.069703715364176
10.24277,0.1946947,7.430909090909091,32696,10.097440214772213
10.49235,0.1997782,7.400681818181818,32563,10.006575194781513
10.74291,0.2044771,7.433636363636364,32708,10.06414442437859
10.99224,0.2100406,7.460681818181818,32827,9.96475139195203
11.24302,0.2148242,7.430681818181818,32695,9.928439313091088
11.49365,0.2193631,7.4179545454545455,32639,9.998892273564639
11.74292,0.2235649,7.438863636363636,32731,10.051677120057711
11.99357,0.2293062,7.445227272727273,32759,10.076273051784613
12.24384,0.2341653,7.41,32604,9.996045627393146
12.49352,0.2391363,7.4147727272727275,32625,10.066564968559506
12.74418,0.2439806,7.411818181818182,32612,10.085530809267247
12.99345,0.2491915,7.413181818181818,32618,10.030017803563018
13.24421,0.254151,7.430681818181818,32695,9.984506242860597
13.49468,0.2588668,7.421363636363636,32654,10.075286547784996
13.74406,0.2634351,7.422272727272727,32658,9.998700134104654
13.99475,0.268234,7.440227272727273,32737,10.015592685035475
14.24405,0.2734179,7.388636363636364,32510,10.06852147633888
14.49483,0.2779144,7.402954545454546,32573,10.029742202404764
14.74514,0.283243,7.4475,32769,10.052775949884587
14.74526,0.283267,7.400909090909091,32564,10.039309611514756
14.49498,0.2784576,7.406818181818182,32590,10.099476328637522
14.2443,0.2735069,7.388636363636364,32510,10.165834847051647
13.99504,0.2684744,7.405227272727273,32583,10.094136447686466
13.74436,0.2631921,7.433863636363636,32709,10.025862453478585
13.49482,0.2587936,7.387272727272728,32504,10.18990516729586
13.24433,0.2539035,7.413636363636364,32620,10.104050257200317
12.99359,0.2490813,7.424090909090909,32666,10.02386507516491
12.74442,0.2442436,7.4275,32681,10.038364158413325
12.49366,0.2392317,7.42,32648,9.968534395965339
12.24413,0.2344223,7.444772727272727,32757,10.00901595705741
11.99386,0.2296532,7.411136363636364,32609,10.074440506182452
11.74316,0.2249295,7.412045454545455,32613,10.055803092705553
11.49372,0.2200882,7.399772727272727,32559,10.087818324471378
11.24312,0.2152588,7.4125,32615,10.161493804498038
10.99249,0.2104827,7.471136363636363,32873,9.985594028477655
10.74302,0.2055261,7.401363636363636,32566,10.106285867553272
10.49252,0.2007345,7.408636363636363,32598,10.074819493933358
10.24299,0.1960126,7.438409090909091,32729,10.094064904234815
