# Exposure time (ms): 3
# Camera ROI: ROI(upper_left_x_pixels=1860, upper_left_y_pixels=2040, lower_right_x_pixels=2163, lower_right_y_pixels=2343)
# Real ROI: (10, 45, 45, 35)
# Images averaged: 15
# Time elapsed: 604.93368268013
Voltage (V),Current (A),Average Intensity,Total Intensity,SNR (dB)
-0.009872993,4.34576e-06,8.891590909090908,39123,8.936353154200628
0.2400953,0.004806607,8.856818181818182,38970,8.994634439273034
0.4908294,0.009612141,8.888409090909091,39109,8.980048202700615
0.7398632,0.01430337,8.859545454545454,38982,9.041021537067426
0.9904799,0.0192208,8.802727272727273,38732,9.066461477518267
1.239747,0.02397862,8.82840909090909,38845,9.097136749846833
1.490089,0.02874302,8.798863636363636,38715,9.18018675281506
1.74063,0.03360103,8.801363636363636,38726,9.117095386207545
1.989948,0.03833593,8.83,38852,9.05023673312756
2.240255,0.04318728,8.746136363636364,38483,9.186469685035973
2.490733,0.04799186,8.765227272727273,38567,9.123078691028592
2.73998,0.05271997,8.782045454545454,38641,9.12305475100878
2.990557,0.05749047,8.72090909090909,38372,9.207971816380198
3.239844,0.06223828,8.774318181818181,38607,9.197132902340705
3.490287,0.06704783,8.724545454545455,38388,9.218417845806817
3.740799,0.07186141,8.6775,38181,9.273598968546997
3.990036,0.0766423,8.717272727272727,38356,9.303371994964136
4.24052,0.0814459,8.6675,38137,9.3414834748817
4.489743,0.08620901,8.674090909090909,38166,9.340862064770299
4.740186,0.09094236,8.728636363636364,38406,9.355848623354655
4.990594,0.0957615,8.67159090909091,38155,9.341643571532918
5.239935,0.1005109,8.67590909090909,38174,9.35478782542863
5.4904,0.1053547,8.700909090909091,38284,9.283881133011388
5.740806,0.110162,8.674772727272726,38169,9.308070152917864
5.990158,0.114887,8.675227272727273,38171,9.299113580753732
6.240554,0.1196903,8.660681818181818,38107,9.31114404300733
6.489768,0.1243817,8.660227272727273,38105,9.3698514088455
6.740479,0.1293367,8.68590909090909,38218,9.306820706812475
6.991127,0.1340606,8.67909090909091,38188,9.303909484665148
7.240377,0.1388678,8.656363636363636,38088,9.251289603647527
7.491122,0.1435829,8.699318181818182,38277,9.242774564483957
7.7404,0.148278,8.694090909090908,38254,9.251675760273615
7.991185,0.1530281,8.659090909090908,38100,9.3217603271277
8.241705,0.1577958,8.697045454545455,38267,9.30515493305258
8.491187,0.1624119,8.700909090909091,38284,9.23658662191153
8.741592,0.1671829,8.679318181818182,38189,9.198394733809307
8.992236,0.1718865,8.680681818181819,38195,9.322139171073283
9.241744,0.1765687,8.687727272727273,38226,9.295872601455082
9.492365,0.1815386,8.668863636363636,38143,9.166147218780749
9.741687,0.1860568,8.666818181818181,38134,9.216256068952042
9.992154,0.1908898,8.645227272727272,38039,9.338742884704919
10.24278,0.1952293,8.670454545454545,38150,9.298975939178744
10.49221,0.2003033,8.700681818181819,38283,9.208039121577954
10.74281,0.2050055,8.663181818181819,38118,9.227626290123345
10.99224,0.2102493,8.689545454545454,38234,9.277491742460949
11.24292,0.2161307,8.665909090909091,38130,9.233582245469599
11.49354,0.2209134,8.65840909090909,38097,9.269568086627691
11.7428,0.2252904,8.680454545454545,38194,9.267890788566138
11.99353,0.2300917,8.672045454545454,38157,9.256660351535693
12.2439,0.2351345,8.628181818181819,37964,9.233732116993322
12.49347,0.239758,8.6925,38247,9.23029859772352
12.74409,0.2443715,8.694090909090908,38254,9.19506014132999
12.9934,0.2493388,8.677272727272728,38180,9.278954460635214
13.24409,0.2537841,8.65409090909091,38078,9.182581323973848
13.49464,0.2594057,8.673863636363636,38165,9.293642690626692
13.74406,0.2641673,8.644545454545455,38036,9.264264538110897
13.99488,0.2696416,8.659090909090908,38100,9.24231836314686
14.24399,0.2740604,8.668181818181818,38140,9.27072873936773
14.49463,0.2789626,8.708181818181819,38316,9.215175580635226
14.74506,0.2837124,8.686363636363636,38220,9.280938577308643
14.7452,0.2843929,8.649318181818181,38057,9.322999893572351
14.49495,0.2795619,8.700454545454546,38282,9.111241916269964
14.24422,0.2745918,8.716818181818182,38354,9.28490725397649
13.9949,0.2697627,8.647272727272727,38048,9.237347876008492
13.74427,0.2647896,8.693863636363636,38253,9.233876879028596
13.4948,0.2599263,8.67,38148,9.234730063539928
13.24437,0.2550222,8.629772727272726,37971,9.258799549922541
12.99367,0.2501291,8.680454545454545,38194,9.262287852146674
12.74432,0.2452904,8.629318181818181,37969,9.283910436508906
12.49369,0.2404065,8.634545454545455,37992,9.2245584760539
12.2441,0.2355879,8.681363636363637,38198,9.233767899760124
11.99373,0.2304447,8.64,38016,9.307785027822016
11.74297,0.2256241,8.656363636363636,38088,9.22163448519162
11.49359,0.2205723,8.670227272727272,38149,9.199293410023099
11.2431,0.2157426,8.66159090909091,38111,9.205611865391724
10.99243,0.2109106,8.663636363636364,38120,9.241096817121258
10.74306,0.206105,8.675681818181818,38173,9.246196390018385
10.49236,0.2012489,8.653181818181817,38074,9.293837742206357
10.24289,0.1964515,8.66090909090909,38108,9.265895601859098
9.992297,0.1916413,8.665909090909091,38130,9.25585925365243
9.741866,0.1868336,8.640454545454546,38018,9.25135057079018
9.492437,0.1820489,8.704545454545455,38300,9.170886500305468
9.241918,0.1773196,8.649318181818181,38057,9.220181236153001
8.992359,0.1724527,8.667727272727273,38138,9.20544658066016
8.741882,0.1676451,8.700454545454546,38282,9.23049557778201
8.491384,0.1629237,8.686363636363636,38220,9.211603556471522
8.241942,0.1581014,8.65090909090909,38064,9.192651861870209
7.991295,0.1533108,8.6675,38137,9.11767631422497
7.74065,0.1485029,8.679545454545455,38190,9.24722149690521
7.491239,0.1437245,8.68659090909091,38221,9.304841828835361
7.240628,0.138895,8.6825,38203,9.208638654134266
6.991286,0.1341371,8.652954545454545,38073,9.204954303463618
6.740759,0.1292898,8.667727272727273,38138,9.254284935588835
6.489936,0.1245105,8.712954545454545,38337,9.129084702758732
6.240828,0.1197599,8.644772727272727,38037,9.273948327473935
5.990336,0.1149709,8.685681818181818,38217,9.154190103931603
5.740944,0.1101997,8.701590909090909,38287,9.07659637249216
5.490664,0.1053995,8.657045454545454,38091,9.201337904812636
5.240129,0.1006238,8.705227272727273,38303,9.23677771620626
4.990798,0.09583327,8.655,38082,9.16378343463646
4.74042,0.09107995,8.693181818181818,38250,9.10562090758899
4.490107,0.0862164,8.698636363636364,38274,9.126329771766391
4.240633,0.08146411,8.657045454545454,38091,9.215974587201163
3.990194,0.07668302,8.670681818181817,38151,9.14955682780765
3.740974,0.0719135,8.709772727272727,38323,9.031318317033637
3.490426,0.06710847,8.653409090909092,38075,9.148617365686471
3.239993,0.06233907,8.714545454545455,38344,9.049962181292456
2.990667,0.0575411,8.736136363636364,38439,9.0795936526647
2.740198,0.05276718,8.67840909090909,38185,9.105100252449873
2.491008,0.04797304,8.708181818181819,38316,9.168526630702761
2.240398,0.04315876,8.7075,38313,9.171185368274944
1.990036,0.03839999,8.713863636363635,38341,9.145137049523107
1.740654,0.03361315,8.769545454545455,38586,9.08449319792625
1.490249,0.02882741,8.830681818181818,38855,8.989311360418741
1.239998,0.02399047,8.854090909090909,38958,8.918366362566308
0.9905068,0.01920755,8.942727272727273,39348,8.76386078004222
0.7400326,0.01440714,8.876363636363637,39056,8.913111787976348
0.4908832,0.009647386,8.862272727272726,38994,8.904771340798474
0.2403381,0.004843072,8.890227272727273,39117,8.846258615862869
-0.009648129,3.923297e-05,8.88,39072,9.008029220239147
0.009793964,1.181734e-05,8.925227272727273,39271,8.864637262647001
-0.2400668,0.004729777,8.858636363636364,38978,8.99700087979438
-0.4906925,0.009492477,8.905681818181819,39185,8.890119560820347
-0.7398159,0.01416287,8.946363636363637,39364,8.858466250898589
-0.9904286,0.0189534,8.8925,39127,8.909860713198931
-1.239831,0.02367157,8.925681818181818,39273,8.939471081523608
-1.490147,0.02843129,8.926363636363636,39276,8.943819058815254
-1.740553,0.03318569,8.959545454545454,39422,8.950563416887276
-1.989989,0.03792118,9.015454545454546,39668,8.873147040213382
-2.240242,0.04268537,8.9675,39457,8.938718276134281
-2.490685,0.0474456,8.951818181818181,39388,8.924564283389033
-2.740088,0.05220243,9.038409090909092,39769,8.846375430076204
-2.990528,0.05693879,9.002272727272727,39610,8.958681192506875
-3.239872,0.06167217,8.963181818181818,39438,8.947312569618354
-3.490264,0.06642728,8.965454545454545,39448,8.990927063656187
-3.740844,0.07118724,8.938181818181818,39328,9.07617264254457
-3.990027,0.07594357,8.99840909090909,39593,8.967015225918702
-4.240306,0.0807158,8.975,39490,8.971569638353273
-4.489801,0.08539193,8.9625,39435,9.099456404434147
-4.740229,0.09017026,9.030227272727272,39733,8.977051847269907
-4.990525,0.09490906,9.017272727272728,39676,9.02448376900384
-5.239853,0.0996132,8.974772727272727,39489,9.019704031487453
-5.490294,0.104396,9.012954545454546,39657,8.989510940088735
-5.740708,0.1091518,9.009772727272727,39643,8.954544747825517
-5.990212,0.113891,8.986590909090909,39541,8.948761255933471
-6.240577,0.1186152,8.999772727272727,39599,9.034595523700844
-6.48977,0.1233194,8.968181818181819,39460,9.035577828503008
-6.740449,0.1279938,8.99159090909091,39563,8.95854035665622
-6.991107,0.1325845,9.002272727272727,39610,9.013658333707223
-7.240435,0.1372211,9.005681818181818,39625,9.025037077860148
-7.491004,0.1420939,8.976136363636364,39495,8.964789280403263
-7.740396,0.1466332,9.039090909090909,39772,8.920839417815813
-7.991092,0.1512996,8.980227272727273,39513,9.013357417923984
-8.241724,0.1567462,8.999318181818182,39597,8.984180565294372
-8.491137,0.16184,9.022727272727273,39700,8.96336035653366
-8.741652,0.1664908,8.999545454545455,39598,8.991554184332921
-8.992143,0.17096,9.022045454545454,39697,8.994423374896362
-9.241601,0.1754979,8.997727272727273,39590,8.992217494325152
-9.492263,0.1806388,8.99,39556,8.988646083673524
-9.741614,0.1855532,9.040454545454546,39778,8.929032363414242
-9.992053,0.1903125,9.02590909090909,39714,8.92268565165361
-10.2427,0.195401,8.997954545454546,39591,8.966798595628745
-10.49219,0.1996484,9.103409090909091,40055,8.822983984133607
-10.74279,0.2054351,9.031363636363636,39738,8.98263251521165
-10.99217,0.2093505,8.998863636363636,39595,8.97254176520694
-11.24291,0.2140995,8.99840909090909,39593,8.971565204811348
-11.49343,0.2189294,8.985,39534,9.03293252836759
-11.74278,0.2236864,8.982727272727272,39524,8.96258668833202
-11.99345,0.2283216,9.006818181818181,39630,8.96622653383509
-12.24384,0.2331539,8.95659090909091,39409,9.031865479825067
-12.49339,0.2381507,9.026136363636363,39715,9.018971246434281
-12.74405,0.2430416,9.040681818181818,39779,8.963739016957172
-12.99331,0.2479484,8.976363636363637,39496,8.95463844008191
-13.24415,0.2525136,9.028636363636364,39726,8.966705987991041
-13.4945,0.2571688,9.024318181818181,39707,8.933254474852449
-13.74404,0.2619818,8.974772727272727,39489,8.99951208851202
-13.99473,0.2666009,9.016590909090908,39673,8.96565422131237
-14.24391,0.2715833,9.023863636363636,39705,8.87663766642472
-14.49464,0.2763864,8.986363636363636,39540,8.961124692798947
-14.74501,0.2808736,9.04659090909091,39805,8.962185928153728
-14.74512,0.2808007,9.009318181818182,39641,8.94980820372414
-14.49488,0.276286,8.975909090909092,39494,8.926626666576242
-14.24414,0.270864,9.080681818181818,39955,8.864563852669262
-13.99483,0.2664991,9.008636363636363,39638,8.961111363548921
-13.74424,0.2615897,9.021136363636364,39693,9.004629891780105
-13.4948,0.2568142,9.031363636363636,39738,8.869011017720723
-13.2443,0.2519251,9.004090909090909,39618,8.876730891163037
-12.9936,0.2472037,9.007045454545455,39631,8.92256834933207
