# Exposure time (ms): 4
# Camera ROI: ROI(upper_left_x_pixels=1600, upper_left_y_pixels=2100, lower_right_x_pixels=1903, lower_right_y_pixels=2403)
# Real ROI: (95, 75, -35, 10)
# Images averaged: 15
# Time elapsed: 330.85717153549194
Voltage (V),Current (A),Average Intensity,Total Intensity,SNR (dB)
-0.009921876,1.190432e-06,10.000196078431372,51001,9.007608364518372
0.2402248,0.004862212,9.99921568627451,50996,9.022604096791556
0.4907797,0.009754578,10.010784313725491,51055,8.933473717082844
0.7398257,0.01460875,9.99470588235294,50973,8.988076589315256
0.9904799,0.01949415,10.02627450980392,51134,8.953730958368256
1.239651,0.02435928,10.001176470588236,51006,9.025629806955612
1.490179,0.02923745,9.979803921568628,50897,9.011201241370166
1.740618,0.03412327,9.96078431372549,50800,9.033157468005719
1.989775,0.03898289,9.952352941176471,50757,8.983973156631498
2.240189,0.04386055,9.956666666666667,50779,9.02004576271918
2.490843,0.04874271,9.917450980392157,50579,9.072714907395575
2.740029,0.05360546,9.96843137254902,50839,9.052561664303806
2.990532,0.05848788,9.884313725490196,50410,9.133031136871967
3.239762,0.06334578,9.877450980392156,50375,9.18009316855124
3.490243,0.06822278,9.877058823529412,50373,9.165159584122412
3.740804,0.07309327,9.886862745098039,50423,9.128319284443597
3.989908,0.07794503,9.856470588235295,50268,9.183902626752262
4.24041,0.08282281,9.905882352941177,50520,9.232911978204937
4.489898,0.08755735,9.846470588235293,50217,9.236255010520235
4.740097,0.09242792,9.791176470588235,49935,9.354871225456558
4.990636,0.09732068,9.78078431372549,49882,9.276197542548584
5.239916,0.1021917,9.779019607843138,49873,9.220296857311574
5.490416,0.1070193,9.772745098039216,49841,9.326649230350508
5.740767,0.1117887,9.785882352941176,49908,9.323813061273949
5.990103,0.1166347,9.751764705882353,49734,9.284824916217486
6.24061,0.1216474,9.823725490196079,50101,9.244284303825474
6.489943,0.1265384,9.768627450980393,49820,9.260594623329212
6.740576,0.1313796,9.793529411764705,49947,9.328703011013626
6.99129,0.135834,9.752549019607843,49738,9.377964885709718
7.240377,0.1406675,9.799607843137254,49978,9.292124830569033
7.491191,0.1461928,9.782549019607844,49891,9.309455511980783
7.740584,0.1510605,9.82,50082,9.292350308973768
7.991167,0.1559512,9.790392156862746,49931,9.28428802419348
8.241848,0.1608956,9.805686274509805,50009,9.280388977199841
8.491312,0.1657622,9.81843137254902,50074,9.377109412966046
8.741658,0.1706622,9.838627450980391,50177,9.25346656164049
8.992308,0.1755463,9.813529411764707,50049,9.286014209223302
9.241695,0.1803895,9.820588235294117,50085,9.252166286823936
9.492492,0.1852614,9.83,50133,9.268004813027321
9.741825,0.1901176,9.816666666666666,50065,9.244575127513757
9.992163,0.1949781,9.813529411764707,50049,9.228855877890862
10.24279,0.1996331,9.767843137254902,49816,9.248171239082126
10.49243,0.2044746,9.810196078431373,50032,9.304807613098356
10.74286,0.2092976,9.765686274509804,49805,9.31067279833341
10.99235,0.2141179,9.815882352941177,50061,9.269166303009271
11.24288,0.218958,9.790588235294118,49932,9.275632837617025
11.49344,0.2238404,9.829607843137255,50131,9.344886800822906
11.74285,0.2285969,9.74705882352941,49710,9.245692476496984
11.99353,0.233021,9.774313725490195,49849,9.290511284413403
12.24402,0.2383643,9.79156862745098,49937,9.293610703316746
12.49352,0.2432902,9.825882352941177,50112,9.259347331249879
12.7441,0.2480861,9.789803921568627,49928,9.293074173126165
12.99354,0.2533003,9.80156862745098,49988,9.298124027720046
13.24414,0.2574654,9.780980392156863,49883,9.273276686209345
13.49471,0.2627608,9.789411764705882,49926,9.259423464984998
13.74418,0.267368,9.8,49980,9.244566215073862
13.99472,0.2720915,9.81235294117647,50043,9.21543117355197
14.24404,0.2771206,9.78313725490196,49894,9.282596067064045
14.49476,0.2819101,9.804509803921569,50003,9.281884005545697
14.74498,0.2867197,9.826666666666666,50116,9.248625665801374
14.74521,0.2867768,9.800588235294118,49983,9.271856612763308
14.49501,0.2824679,9.799803921568627,49979,9.286011801336784
14.24418,0.2770316,9.82235294117647,50094,9.267948534259453
13.995,0.2723888,9.814901960784313,50056,9.273423235403405
13.74443,0.2674916,9.836274509803921,50165,9.302881820016074
13.4949,0.2618409,9.814313725490196,50053,9.276363820439236
13.24448,0.2568887,9.839607843137255,50182,9.256205798131159
12.99377,0.2519733,9.843529411764706,50202,9.224371325378007
12.74437,0.2469206,9.82235294117647,50094,9.226758590255663
12.49384,0.2419253,9.831764705882353,50142,9.169779801836958
12.24424,0.235981,9.790392156862746,49931,9.263937066226815
11.99377,0.2309135,9.835882352941177,50163,9.24246977908161
11.74321,0.2263738,9.847058823529412,50220,9.273304153706732
11.49383,0.221655,9.809803921568628,50030,9.255961233115986
11.24326,0.2171671,9.84156862745098,50192,9.257949235561233
10.99265,0.2122855,9.840588235294117,50187,9.220534999275888
10.74316,0.2076166,9.801176470588235,49986,9.21326542265654
10.49258,0.202881,9.838235294117647,50175,9.216996468620524
10.24295,0.1980809,9.807450980392156,50018,9.276571453493082
9.992454,0.1932453,9.860980392156863,50291,9.248326967859601
9.742068,0.1884094,9.792941176470588,49944,9.264935774823739
9.492667,0.1835894,9.832549019607843,50146,9.183588397906364
9.24204,0.1787478,9.813529411764707,50049,9.29047395865513
8.992654,0.1739318,9.846470588235293,50217,9.220862699519412
8.741974,0.1690855,9.77627450980392,49859,9.236003434709886
8.491608,0.1642458,9.856078431372548,50266,9.257370095765662
8.242002,0.1594297,9.821568627450981,50090,9.273097752210806
7.991488,0.1545821,9.845882352941176,50214,9.208954111825115
7.740861,0.1497331,9.791372549019608,49936,9.252034761508998
7.491355,0.1449189,9.828627450980392,50126,9.228552758625844
7.240635,0.1400764,9.816666666666666,50065,9.227791516945963
6.991586,0.1352592,9.863725490196078,50305,9.200577285798682
6.740745,0.1304098,9.828039215686275,50123,9.233870621358722
6.490167,0.1255674,9.847254901960785,50221,9.193403398853665
6.240828,0.1207533,9.826078431372549,50113,9.213103311878182
5.990446,0.1159166,9.85450980392157,50258,9.189335004410426
5.741114,0.1111037,9.842941176470589,50199,9.224708480830046
5.490655,0.1062722,9.845490196078432,50212,9.25211530303487
5.24004,0.1014334,9.852156862745097,50246,9.203904826354249
4.990974,0.09662136,9.885294117647058,50415,9.218678904208904
4.740392,0.09178594,9.858627450980393,50279,9.260764441227545
4.490067,0.08694965,9.846078431372549,50215,9.243079948755607
4.240595,0.08213275,9.870588235294118,50340,9.177618829821993
3.99014,0.07729551,9.839411764705883,50181,9.215696394077543
3.741175,0.07248081,9.882549019607843,50401,9.208143405859971
3.490398,0.06764303,9.877843137254901,50377,9.190314049945133
3.239894,0.06280597,9.879411764705882,50385,9.180826157638197
2.990798,0.05799127,9.888235294117647,50430,9.230211855246452
2.740211,0.05315043,9.84686274509804,50219,9.241186739651429
2.491071,0.04833281,9.840196078431372,50185,9.186431686413052
2.240364,0.0434912,9.851372549019608,50242,9.277521870040943
1.989974,0.038655,9.84,50184,9.264311171352183
1.740881,0.0338322,9.860196078431372,50287,9.186030458200623
1.490213,0.02899422,9.954705882352942,50769,9.101379259398142
1.239946,0.02415701,10.036078431372548,51184,9.00107327942423
0.9906437,0.01933651,10.018235294117646,51093,9.004597313110324
0.740031,0.01449105,10.058039215686275,51296,8.942927082206642
0.4909198,0.009675426,10.016078431372549,51082,8.944033537238669
0.2403283,0.004831283,10.08843137254902,51451,8.93279802965888
-0.009706789,9.227589e-06,10.047058823529412,51240,8.979999869448829
0.009824109,6.161562e-06,10.101176470588236,51516,8.935550868410543
-0.2401181,0.004805773,10.086078431372549,51439,8.997755467474725
-0.490739,0.009645243,10.122156862745099,51623,8.947348825431288
-0.7398925,0.01444911,10.109019607843138,51556,8.962153191144349
-0.9904506,0.01929114,10.115098039215686,51587,8.914191817017333
-1.239797,0.0241107,10.205686274509803,52049,8.888801724200498
-1.490065,0.02891799,10.161764705882353,51825,8.9220740933563
-1.740566,0.03374266,10.193333333333333,51986,8.86788118920182
-1.989955,0.03855117,10.185686274509804,51947,8.90049022748973
-2.240134,0.04343523,10.222745098039216,52136,8.92722120663745
-2.490783,0.04824286,10.156470588235294,51798,8.988246351586621
-2.740001,0.05302449,10.211764705882352,52080,8.890393132814323
-2.99049,0.05785241,10.206274509803922,52052,8.90929827952517
-3.239838,0.06266095,10.239411764705883,52221,8.949834790164747
-3.490188,0.06748848,10.19627450980392,52001,8.968914055532881
-3.740837,0.0723189,10.213333333333333,52088,8.888954922541654
-3.99,0.0771189,10.22235294117647,52134,8.974074685069445
-4.240308,0.08196242,10.244117647058824,52245,8.96579746068782
-4.489803,0.08685791,10.258627450980391,52319,8.933282433620493
-4.740117,0.09171557,10.251764705882353,52284,8.996512414534646
-4.990674,0.09659638,10.229803921568628,52172,8.946260736809528
-5.239983,0.1014435,10.249019607843136,52270,8.911002018296385
-5.490275,0.1063068,10.266274509803921,52358,8.970818984229469
-5.740787,0.1111528,10.287450980392157,52466,8.97369107007642
-5.990141,0.1159745,10.234901960784313,52198,8.918104267498391
-6.240579,0.1208109,10.276470588235295,52410,9.015290766688814
-6.489925,0.1256627,10.259607843137255,52324,8.922239259911828
-6.740314,0.1306151,10.28313725490196,52444,8.930004721780113
-6.991292,0.1355244,10.249019607843136,52270,8.909039048711762
-7.240619,0.1403613,10.275490196078431,52405,8.905041593928297
-7.491043,0.145225,10.288039215686274,52469,8.95514327643965
-7.740526,0.1500674,10.241176470588234,52230,9.000560414469973
-7.991036,0.1549289,10.275294117647059,52404,8.896317558489088
-8.241775,0.1597862,10.270588235294118,52380,8.91551122439112
-8.491251,0.1646273,10.298823529411765,52524,8.930374571097325
-8.74163,0.169497,10.231568627450981,52181,8.968440719883159
-8.992223,0.1743739,10.251372549019608,52282,9.003758264625402
-9.241754,0.1792403,10.220588235294118,52125,8.977651265368358
-9.492356,0.1841268,10.25764705882353,52314,8.915710490281777
-9.741747,0.188982,10.287843137254901,52468,8.951687799266402
-9.992259,0.1938507,10.317450980392158,52619,8.9697361808191
-10.24276,0.1987126,10.272941176470589,52392,8.992920766319983
-10.49239,0.2035349,10.282549019607844,52441,8.937964273878642
-10.74284,0.2083826,10.236666666666666,52207,8.925591838614125
-10.9923,0.2131951,10.258431372549019,52318,8.919991550705578
-11.24304,0.2180697,10.260784313725491,52330,8.993090160537305
-11.49354,0.2229331,10.300196078431373,52531,8.871719396803424
-11.74279,0.2277751,10.266470588235293,52359,8.991504094703258
-11.99348,0.2326,10.315098039215686,52607,8.953470945180865
-12.24397,0.2373382,10.251176470588236,52281,8.918431447893903
-12.49342,0.2422399,10.297647058823529,52518,8.94573822496378
-12.74404,0.2470535,10.29607843137255,52510,8.835053147001625
-12.99336,0.2519273,10.341960784313725,52744,8.897850422694363
-13.24419,0.2567707,10.310588235294118,52584,8.90429680127266
-13.49446,0.2615604,10.330588235294117,52686,8.969401584938815
-13.74415,0.2661591,10.304509803921569,52553,8.939280946254494
-13.9947,0.2712003,10.29549019607843,52507,8.94494598343669
-14.24382,0.2759527,10.292745098039216,52493,9.01302243830383
-14.49472,0.2809806,10.300392156862745,52532,8.92632995337654
-14.74487,0.2858636,10.29156862745098,52487,8.964212561940476
-14.74511,0.2858252,10.315294117647058,52608,8.951979925750472
-14.49481,0.280922,10.330588235294117,52686,8.896187667362215
-14.24422,0.2759536,10.26686274509804,52361,8.948202217727063
-13.9949,0.2709231,10.29686274509804,52514,8.954723413083878
-13.74426,0.2661498,10.265098039215687,52352,8.991756101418874
-13.49485,0.2613175,10.307058823529411,52566,8.89000330667404
-13.24441,0.2564837,10.265098039215687,52352,8.916866769657405
-12.99374,0.2516775,10.323333333333334,52649,8.89957879472709
-12.74431,0.2468668,10.252156862745098,52286,8.944983738879396
-12.49363,0.2420448,10.286666666666667,52462,8.971280292695905
-12.2442,0.2372218,10.246078431372549,52255,8.958806155883346
-11.99363,0.2325566,10.275882352941176,52407,8.918179154842015
-11.74313,0.2276767,10.250980392156864,52280,8.940248364661725
-11.49384,0.2227915,10.30313725490196,52546,8.911016074865092
-11.24322,0.2178317,10.24235294117647,52236,8.950137467877111
-10.99267,0.2129359,10.32764705882353,52671,8.929085172745605
-10.74316,0.2080815,10.249607843137255,52273,8.909900529049285
-10.49247,0.2032161,10.29392156862745,52499,9.021062726491044
-10.24306,0.1983816,10.280392156862746,52430,8.9308413277085
-9.992313,0.1935337,10.267254901960785,52363,8.916517322599427
-9.741874,0.1887031,10.258823529411766,52320,8.942672787259887
-9.492702,0.1838791,10.289019607843137,52474,8.912693419889662
-9.241975,0.1790237,10.269803921568627,52376,8.928901024459003
-8.99264,0.1741905,10.308235294117647,52572,8.930699361742949
-8.741876,0.1693436,10.245882352941177,52254,8.92298923580707
-8.491386,0.164491,10.311568627450981,52589,8.926609604344488
-8.242161,0.1596592,10.233333333333333,52190,8.98217408059015
-7.991427,0.1548108,10.292745098039216,52493,8.951155318422087
-7.740724,0.1499549,10.296666666666667,52513,8.982715386053426
-7.491272,0.1451208,10.293529411764705,52497,8.947113228623088
-7.240672,0.1402709,10.30764705882353,52569,8.93956854974491
-6.991604,0.1354468,10.285098039215686,52454,8.959478647199411
-6.740678,0.130605,10.30549019607843,52558,8.956501247605589
-6.489999,0.125754,10.262156862745098,52337,8.970561788877442
-6.240899,0.1207714,10.301372549019607,52537,8.937049847048602
-5.990336,0.1158653,10.273137254901961,52393,8.909269254089914
-5.741027,0.1110503,10.28686274509804,52463,8.959263692761304
-5.490599,0.1062209,10.275686274509804,52406,8.981855369850848
-5.24014,0.101385,10.271764705882353,52386,8.93155896523981
