# Exposure time (ms): 4
# Camera ROI: ROI(upper_left_x_pixels=1600, upper_left_y_pixels=2100, lower_right_x_pixels=1903, lower_right_y_pixels=2403)
# Real ROI: (95, 75, -35, 10)
# Images averaged: 15
# Time elapsed: 276.1556842327118
Voltage (V),Current (A),Average Intensity,Total Intensity,SNR (dB)
-0.01013696,5.953192e-06,10.021764705882353,51111,8.91440157013638
0.2400692,0.004753025,10.04313725490196,51220,9.000088212106533
0.490642,0.009537515,10.047647058823529,51243,8.894243857244842
0.7397833,0.01427959,10.00921568627451,51047,9.003567573185503
0.9903594,0.01905285,10.03,51153,8.930392024702005
1.239746,0.02380246,10.010196078431372,51052,8.994638370055453
1.48997,0.02857355,10.000196078431372,51001,8.943854134963285
1.740529,0.03334283,10.010196078431372,51052,8.949119107901705
1.989913,0.03809309,9.951764705882352,50754,8.958897669291147
2.240165,0.04286147,9.927843137254902,50632,9.051656516807187
2.490701,0.04763301,9.951764705882352,50754,9.060242471683521
2.739835,0.05238515,9.89843137254902,50482,9.023212260908094
2.990401,0.05715014,9.922549019607843,50605,8.959941424902924
3.239848,0.06189822,9.869019607843137,50332,9.038428348575673
3.490115,0.06666899,9.906666666666666,50524,9.076103491720225
3.740797,0.07143562,9.860392156862746,50288,9.036850827950257
3.98994,0.07617641,9.87686274509804,50372,9.053091126454778
4.24031,0.08094786,9.824117647058824,50103,9.12957618822174
4.489815,0.0857013,9.852549019607844,50248,9.126263898263682
4.740199,0.09047043,9.847450980392157,50222,9.128655518972227
4.990492,0.09523903,9.855294117647059,50262,9.11166576779151
5.239919,0.09998771,9.782549019607844,49891,9.172102683793812
5.490265,0.104755,9.798627450980392,49973,9.239519830582815
5.740766,0.1095233,9.785882352941176,49908,9.204081029111208
5.990145,0.1142767,9.808039215686275,50021,9.175752888686027
6.240417,0.1190123,9.781372549019608,49885,9.216597438421347
6.489762,0.1237494,9.802745098039216,49994,9.188451811806523
6.740515,0.1285203,9.784705882352942,49902,9.191443316566573
6.991042,0.1332314,9.806666666666667,50014,9.197576765093483
7.24041,0.1379025,9.780588235294118,49881,9.2254993036231
7.490963,0.142727,9.804117647058824,50001,9.235986007790439
7.740384,0.1474902,9.782156862745097,49889,9.160070415672374
7.99111,0.1522938,9.808823529411764,50025,9.227722583332346
8.24155,0.1570609,9.80607843137255,50011,9.240004306724899
8.49115,0.161842,9.809019607843137,50026,9.242313692548766
8.741641,0.1666449,9.79078431372549,49933,9.14800276500481
8.992078,0.1714449,9.8,49980,9.213482483487512
9.241715,0.1763547,9.817843137254902,50071,9.206687587603117
9.492101,0.1813652,9.783333333333333,49895,9.273930185613924
9.741555,0.1861828,9.806666666666667,50014,9.211696472673932
9.992179,0.1909024,9.794901960784314,49954,9.21015278864315
10.24255,0.1957622,9.80078431372549,49984,9.218279741594856
10.49219,0.2006575,9.803333333333333,49997,9.204570343141935
10.74289,0.2056102,9.777254901960784,49864,9.217335684894593
10.99221,0.2114572,9.77450980392157,49850,9.260764383743123
11.24293,0.2164032,9.79392156862745,49949,9.226146266974837
11.49341,0.2213292,9.75235294117647,49737,9.261226423722457
11.74276,0.2261833,9.803529411764705,49998,9.23889867553699
11.99363,0.230948,9.745686274509804,49703,9.216315124535784
12.24382,0.2370937,9.778235294117646,49869,9.256246070910311
12.49347,0.241947,9.739411764705883,49671,9.276441113328207
12.74418,0.2469573,9.777843137254902,49867,9.264589544244815
12.99333,0.2516484,9.732941176470588,49638,9.263417810410385
13.24415,0.2565167,9.781372549019608,49885,9.262372224098574
13.49442,0.2611955,9.766078431372549,49807,9.255987873577174
13.74401,0.2659026,9.814509803921569,50054,9.279820037367536
13.99474,0.2703476,9.73078431372549,49627,9.30412198997075
14.24373,0.2755636,9.767450980392157,49814,9.30911804472794
