# Exposure time (ms): 4
# Camera ROI: ROI(upper_left_x_pixels=1600, upper_left_y_pixels=2100, lower_right_x_pixels=1903, lower_right_y_pixels=2403)
# Real ROI: (95, 75, -35, 10)
# Images averaged: 15
# Time elapsed: 283.12111949920654
Voltage (V),Current (A),Average Intensity,Total Intensity,SNR (dB)
-0.009916987,1.107316e-05,8.801372549019607,44887,8.537465610438481
0.240171,0.004764605,8.81235294117647,44943,8.473476730335825
0.4907096,0.009556804,8.804509803921569,44903,8.399451437790445
0.7398762,0.01431281,8.819019607843137,44977,8.19447278051068
0.9902412,0.01909488,8.880196078431373,45289,8.277616528982868
1.239793,0.02385687,8.90470588235294,45414,8.171253656520603
1.490159,0.02863978,8.913529411764706,45459,8.04381244564158
1.740421,0.03342603,8.773137254901961,44743,8.158851549383211
1.989838,0.03818697,8.76,44676,8.2974203339983
2.240079,0.04296959,8.742549019607843,44587,8.308423195789947
2.490737,0.04775262,8.744313725490196,44596,8.250388935591545
2.740026,0.05251722,8.72607843137255,44503,8.296819972434573
2.990432,0.05729635,8.71549019607843,44449,8.235654003382551
3.239785,0.06206197,8.697843137254901,44359,8.327861631702643
3.4901,0.06683997,8.764313725490195,44698,8.249857487550209
3.740589,0.07162562,8.71843137254902,44464,8.24472115475277
3.989945,0.07638761,8.732156862745098,44534,8.22218459946791
4.240311,0.08117267,8.680392156862744,44270,8.440326896597071
4.489773,0.0859323,8.657254901960785,44152,8.19792266874283
4.740201,0.09071188,8.66078431372549,44170,8.224540966972658
4.990497,0.09549586,8.654117647058824,44136,8.300122137345769
5.239971,0.1002513,8.64156862745098,44072,8.281143038047292
5.490378,0.1050351,8.561372549019607,43663,8.428635359721937
5.740645,0.1098137,8.616666666666667,43945,8.396087624043076
5.990141,0.1145766,8.642745098039216,44078,8.387539117326515
6.240463,0.1193569,8.656470588235294,44148,8.602352235174923
6.489857,0.124115,8.649019607843137,44110,8.652529668040307
6.740567,0.1289052,8.547843137254901,43594,8.852375283289124
6.991095,0.1337055,8.650980392156862,44120,8.539360501237484
7.240465,0.138471,8.610196078431372,43912,8.768957786336571
7.491095,0.1432575,8.611372549019608,43918,8.769984316451993
7.740327,0.1480196,8.670196078431372,44218,8.670653032820416
7.991065,0.1528046,8.577843137254902,43747,8.718657657769587
8.241618,0.1575821,8.622745098039216,43976,8.766474271218428
8.491216,0.1623507,8.601960784313725,43870,8.73666960144811
8.741701,0.1671329,8.540392156862746,43556,8.722683106224304
8.992048,0.1719127,8.579803921568628,43757,8.662538083188503
9.241743,0.1766725,8.586862745098038,43793,8.72052174509064
9.49223,0.1815225,8.565882352941177,43686,8.699561042225923
9.741592,0.1862838,8.57078431372549,43711,8.637160877571642
9.992145,0.1910627,8.569019607843137,43702,8.594203557664699
10.24258,0.1958421,8.620196078431373,43963,8.420522709639735
10.49217,0.2005962,8.604901960784314,43885,8.471299793953662
10.74284,0.2053125,8.588627450980391,43802,8.458514435882531
10.99211,0.210026,8.487254901960783,43285,8.511834591905258
11.24291,0.2147714,8.55843137254902,43648,8.576461327334348
11.49337,0.2195308,8.522941176470589,43467,8.648142527151277
11.74278,0.2242752,8.533333333333333,43520,8.535598933912267
11.99358,0.2290417,8.577254901960785,43744,8.461399167299996
12.24368,0.2337678,8.592156862745098,43820,8.497874241944839
12.49337,0.2385195,8.608627450980393,43904,8.37477672998282
12.74408,0.2433936,8.569215686274509,43703,8.468753208157903
12.9933,0.2482586,8.623725490196078,43981,8.276267467255588
13.24407,0.2529754,8.594313725490196,43831,8.132613973980284
13.4943,0.2576224,8.499411764705883,43347,8.30897373992428
13.74392,0.2624442,8.585490196078432,43786,8.43019111962686
13.99476,0.2673275,8.593137254901961,43825,8.348027309356407
14.24375,0.2732495,8.55156862745098,43613,8.340298663188237
14.49462,0.2781636,8.515686274509804,43430,8.438339324606936
14.74505,0.2837558,8.598627450980391,43853,8.268673078670602
14.74514,0.2829542,8.55078431372549,43609,8.394697808038801
14.49487,0.2784202,8.586862745098038,43793,8.291159207524629
14.24431,0.2735077,8.633921568627452,44033,8.383523560724504
13.99496,0.2686376,8.593137254901961,43825,8.506159314149746
13.74422,0.2636777,8.6,43860,8.473630551300722
13.49479,0.2587802,8.600784313725491,43864,8.48740875499202
13.24433,0.2536746,8.576666666666666,43741,8.624853569216867
12.99368,0.2491157,8.557843137254903,43645,8.603998812938515
12.74442,0.2443591,8.560392156862745,43658,8.627269900696877
12.4937,0.2395412,8.57529411764706,43734,8.543610821028768
12.24427,0.2347567,8.562156862745098,43667,8.570606863274904
11.9938,0.2299155,8.568039215686275,43697,8.55261357808303
11.74304,0.2250908,8.569607843137256,43705,8.612303828987
11.49389,0.2203164,8.546470588235294,43587,8.624037528730288
11.24314,0.2155134,8.587254901960785,43795,8.623110704253959
10.99253,0.2106933,8.51686274509804,43436,8.625246955439325
10.74316,0.2058933,8.554705882352941,43629,8.58420352330032
10.49246,0.201081,8.550196078431373,43606,8.740191635626108
10.24294,0.1962899,8.563725490196079,43675,8.603820673610816
9.992551,0.1914838,8.535490196078431,43531,8.386164206903713
9.741899,0.1866761,8.528235294117646,43494,8.415418091626691
9.492728,0.1818944,8.541372549019608,43561,8.308486414577956
9.24198,0.177086,8.567450980392158,43694,8.4657886848161
8.992382,0.172302,8.569411764705883,43704,8.50995510774154
8.741988,0.1674957,8.569019607843137,43702,8.475499875855148
8.491473,0.1626952,8.578627450980392,43751,8.537206110802014
8.241914,0.1579105,8.604313725490195,43882,8.455521304451082
7.99151,0.1531084,8.59235294117647,43821,8.535308534733195
7.740738,0.1483093,8.52686274509804,43487,8.603775725540086
7.491434,0.1435281,8.608039215686274,43901,8.486408202023963
7.240708,0.1387234,8.564313725490196,43678,8.375567973892014
6.991485,0.1339478,8.58,43758,8.237320074818626
6.740871,0.1291446,8.522745098039216,43466,8.324301217316583
6.490035,0.1243413,8.487450980392158,43286,8.435832293055821
6.240723,0.1195713,8.49705882352941,43335,8.454375164555625
5.990591,0.1147862,8.540392156862746,43556,8.473076779411903
5.741012,0.1100122,8.503921568627451,43370,8.436006277293274
5.49082,0.1052242,8.629411764705882,44010,8.228306743358079
5.240252,0.1004336,8.574509803921568,43730,8.280661424462195
4.99086,0.09566071,8.577843137254902,43747,8.321153438811802
4.740589,0.09087348,8.631372549019607,44020,8.349537893791112
4.490114,0.08608771,8.517058823529412,43437,8.469638667030111
4.240656,0.08132165,8.595686274509804,43838,8.325320032824834
3.99032,0.07652701,8.62156862745098,43970,8.315757713337504
3.741086,0.07175999,8.608039215686274,43901,8.359136044205728
3.490553,0.06696517,8.60686274509804,43895,8.292804221025408
3.240065,0.06217577,8.58764705882353,43797,8.248531412107367
2.990688,0.05740768,8.620196078431373,43963,8.38700624016891
2.740386,0.05261688,8.647254901960784,44101,8.177220636626869
2.490988,0.04784719,8.707843137254901,44410,8.097652979569474
