# Exposure time (ms): 2
# Camera ROI: ROI(upper_left_x_pixels=1600, upper_left_y_pixels=2100, lower_right_x_pixels=1903, lower_right_y_pixels=2403)
# Real ROI: (95, 75, -35, 10)
# Images averaged: 15
# Time elapsed: 338.3351457118988
Voltage (V),Current (A),Average Intensity,Total Intensity,SNR (dB)
-0.01003105,5.655519e-06,7.371372549019608,37594,9.77578994775964
0.240136,0.004800653,7.400980392156863,37745,9.72339641078887
0.4907577,0.0096264,7.380980392156863,37643,9.675161372179383
0.7398045,0.01441905,7.383921568627451,37658,9.64646829972793
0.9903822,0.0192431,7.3792156862745095,37634,9.639512830384081
1.239838,0.02403917,7.402549019607843,37753,9.620377373704942
1.490127,0.02885949,7.429019607843137,37888,9.674888668106053
1.740562,0.03368149,7.406666666666666,37774,9.635875054008153
1.989788,0.03847592,7.436274509803922,37925,9.670520784926559
2.240185,0.04328961,7.400980392156863,37745,9.646748134534551
2.490761,0.04811233,7.412549019607843,37804,9.63314680919133
2.739997,0.05290696,7.411176470588235,37797,9.690196962968958
2.990484,0.05772173,7.420980392156863,37847,9.71593013887482
3.239706,0.06251479,7.433725490196078,37912,9.646451107931327
3.490195,0.06732515,7.45,37995,9.644422808752056
3.740849,0.07214319,7.432941176470588,37908,9.670045004542182
3.989785,0.07693512,7.453333333333333,38012,9.636201432763524
4.240506,0.08174622,7.4005882352941175,37743,9.784520261267893
4.489921,0.08653958,7.437647058823529,37932,9.641830429231517
4.740148,0.09134681,7.42,37842,9.675562151680259
4.990602,0.09615708,7.459803921568628,38045,9.702530284639932
5.239899,0.1009469,7.425686274509804,37871,9.66132727013735
5.490415,0.1057653,7.468823529411765,38091,9.709591504878677
5.740845,0.1105824,7.45235294117647,38007,9.687102334619741
5.990128,0.1153698,7.447647058823529,37983,9.720771758968013
6.24063,0.1201688,7.424901960784314,37867,9.713425595049294
6.489815,0.1249558,7.46235294117647,38058,9.736945739958777
6.740335,0.1297698,7.445686274509804,37973,9.659100183132534
6.991209,0.1345824,7.468823529411765,38091,9.659428256185826
7.24058,0.1393544,7.473725490196078,38116,9.776519799945051
7.4911,0.1441437,7.45156862745098,38003,9.690887100557216
7.740523,0.149161,7.4580392156862745,38036,9.72210860634766
7.990958,0.153944,7.436862745098039,37928,9.687879905773457
8.241787,0.158713,7.473921568627451,38117,9.67975896962154
8.491261,0.1634612,7.448235294117647,37986,9.715511205667344
8.74151,0.1682418,7.471960784313725,38107,9.60779423875557
8.992208,0.1729129,7.4445098039215685,37967,9.690592741267878
9.241567,0.1778934,7.450588235294117,37998,9.68002436483745
9.492245,0.1825963,7.4309803921568625,37898,9.68575381309632
9.741629,0.1872311,7.447647058823529,37983,9.808936913211996
9.992043,0.1919479,7.428627450980392,37886,9.712369259255414
10.24272,0.1969526,7.466862745098039,38081,9.688936824021752
10.49229,0.2016375,7.424313725490196,37864,9.731059816713838
